question_id,response,next_question_id
1,1,3
1,2,2
1,3,5
1,4,2
1,5,7
1,6,5
1,7,6
1,8,7
1,9,6
1,10,5
2,1,2
2,2,4
2,3,3
2,4,1
2,5,9
2,6,10
2,7,8
2,8,10
2,9,9
2,10,8
3,1,4
3,2,1
3,3,5
3,4,2
3,5,9
3,6,8
3,7,10
3,8,10
3,9,8
3,10,9
4,1,23
4,2,25
4,3,24
4,4,23
4,5,18
4,6,17
4,7,19
4,8,19
4,9,18
4,10,17
5,1,3
5,2,2
5,3,4
5,4,2
5,5,4
5,6,1
5,7,6
5,8,7
5,9,6
5,10,7
6,1,17
6,2,11
6,3,10
6,4,2
6,5,4
6,6,7
6,7,5
6,8,7
6,9,7
6,10,5
7,1,20
7,2,18
7,3,16
7,4,12
7,5,10
7,6,5
7,7,5
7,8,6
7,9,6
7,10,5
8,1,6
8,2,8
8,3,20
8,4,24
8,5,15
8,6,2
8,7,9
8,8,10
8,9,10
8,10,9
9,1,13
9,2,22
9,3,5
9,4,17
9,5,18
9,6,2
9,7,8
9,8,10
9,9,8
9,10,10
10,1,21
10,2,19
10,3,22
10,4,18
10,5,16
10,6,2
10,7,9
10,8,8
10,9,8
10,10,9
11,1,21
11,2,24
11,3,25
11,4,22
11,5,11
11,6,10
11,7,12
11,8,13
11,9,13
11,10,12
12,1,4
12,2,3
12,3,21
12,4,18
12,5,17
12,6,15
12,7,11
12,8,13
12,9,13
12,10,11
13,1,8
13,2,7
13,3,17
13,4,5
13,5,3
13,6,25
13,7,11
13,8,12
13,9,12
13,10,11
14,1,9
14,2,8
14,3,20
14,4,19
14,5,21
14,6,13
14,7,15
14,8,16
14,9,16
14,10,15
15,1,6
15,2,4
15,3,8
15,4,10
15,5,15
15,6,12
15,7,16
15,8,14
15,9,16
15,10,14
16,1,7
16,2,25
16,3,22
16,4,11
16,5,12
16,6,13
16,7,15
16,8,15
16,9,14
16,10,14
17,1,10
17,2,11
17,3,12
17,4,18
17,5,20
17,6,4
17,7,19
17,8,19
17,9,18
17,10,18
18,1,13
18,2,15
18,3,16
18,4,23
18,5,21
18,6,4
18,7,17
18,8,19
18,9,19
18,10,17
19,1,20
19,2,17
19,3,15
19,4,12
19,5,11
19,6,4
19,7,17
19,8,18
19,9,18
19,10,17
20,1,2
20,2,4
20,3,5
20,4,12
20,5,24
20,6,20
20,7,22
20,8,21
20,9,22
20,10,21
21,1,19
21,2,17
21,3,14
21,4,13
21,5,24
21,6,25
21,7,20
21,8,22
21,9,22
21,10,20
22,1,9
22,2,7
22,3,5
22,4,2
22,5,18
22,6,19
22,7,20
22,8,21
22,9,21
22,10,14
23,1,17
23,2,19
23,3,11
23,4,10
23,5,23
23,6,20
23,7,24
23,8,25
23,9,25
23,10,24
24,1,7
24,2,12
24,3,19
24,4,17
24,5,20
24,6,24
24,7,25
24,8,25
24,9,23
24,10,23
25,1,11
25,2,12
25,3,19
25,4,14
25,5,21
25,6,22
25,7,23
25,8,24
25,9,24
25,10,23
